MAPA	CVE_ENT	NOM_ENT	NOM_ABR	CVE_MUN	NOM_MUN	CVE_LOC	NOM_LOC	AMBITO	LATITUD	LONGITUD	LAT_DECIMAL	LON_DECIMAL	ALTITUD	CVE_CARTA	POB_TOTAL	POB_MASCULINA	POB_FEMENINA	TOTAL DE VIVIENDAS HABITADAS
"010020193"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0193"	"El Coyonoztal [Rancho]"	"R"	"22°05´52.964"N"	"102°01´11.164"W"	"22.09804500"	"-102.01976700"	"2013"	"F13B89"	"1"	"*"	"*"	"1"
"010020194"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0194"	"El Cenizo [Rancho]"	"R"	"22°11´02.212"N"	"102°02´15.575"W"	"22.18394700"	"-102.03765900"	"2007"	"F13B89"	"2"	"*"	"*"	"1"
"010020195"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0195"	"El Chinchín [Rancho]"	"R"	"22°03´50.512"N"	"102°01´12.352"W"	"22.06403100"	"-102.02009700"	"2008"	"F13B89"	"0"	"0"	"0"	"0"
"010020196"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0196"	"Rancho Chiquichape"	"R"	"22°06´23.477"N"	"102°02´51.101"W"	"22.10652100"	"-102.04752800"	"2005"	"F13B89"	"5"	"*"	"*"	"1"
"010020197"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0197"	"El Encino [Rancho]"	"R"	"22°14´08.734"N"	"102°05´55.058"W"	"22.23575900"	"-102.09862700"	"2200"	"F13B89"	"2"	"*"	"*"	"1"
"010020198"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0198"	"El Fresno [Rancho]"	"R"	"22°15´22.447"N"	"102°01´35.193"W"	"22.25623500"	"-102.02644200"	"2023"	"F13B79"	"0"	"0"	"0"	"0"
"010020200"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0200"	"El Plan [Rancho]"	"R"	"22°03´41.893"N"	"102°05´09.817"W"	"22.06163700"	"-102.08606000"	"1974"	"F13B89"	"0"	"0"	"0"	"0"
"010020201"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0201"	"La Corona [Rancho]"	"R"	"22°05´46.443"N"	"101°59´44.710"W"	"22.09623400"	"-101.99575200"	"2034"	"F14A81"	"2"	"*"	"*"	"1"
"010020202"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0202"	"La Cruz [Rancho]"	"R"	"22°02´43.982"N"	"101°59´15.531"W"	"22.04555000"	"-101.98764700"	"2009"	"F14A81"	"0"	"0"	"0"	"0"
"010020204"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0204"	"La Divina Providencia [Rancho]"	"R"	"22°16´37.063"N"	"102°02´07.411"W"	"22.27696100"	"-102.03539200"	"2032"	"F13B79"	"48"	"20"	"28"	"11"
"010020205"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0205"	"La Guadalupana [Rancho]"	"R"	"22°03´44.573"N"	"102°06´06.913"W"	"22.06238100"	"-102.10192000"	"1960"	"F13B89"	"1"	"*"	"*"	"1"
"010020206"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0206"	"Laguna Colorada [Rancho]"	"R"	"22°05´38.499"N"	"101°59´18.001"W"	"22.09402700"	"-101.98833300"	"2038"	"F14A81"	"4"	"*"	"*"	"1"
"010020207"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0207"	"La Laguna de las Padillas [Rancho]"	"R"	"22°05´52.595"N"	"102°00´07.387"W"	"22.09794300"	"-102.00205200"	"2032"	"F13B89"	"9"	"*"	"*"	"1"
"010020208"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0208"	"La Lagunita [Rancho]"	"R"	"22°04´42.116"N"	"102°06´46.923"W"	"22.07836500"	"-102.11303400"	"2011"	"F13B89"	"6"	"4"	"2"	"3"
"010020209"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0209"	"Las Bóvedas [Rancho]"	"R"	"22°06´48.821"N"	"101°59´01.995"W"	"22.11356100"	"-101.98388700"	"2039"	"F14A81"	"40"	"19"	"21"	"6"
"010020210"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0210"	"Los Palmares [Rancho]"	"R"	"22°04´37.132"N"	"101°57´15.897"W"	"22.07698000"	"-101.95441600"	"2056"	"F14A81"	"3"	"*"	"*"	"1"
"010020211"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0211"	"Los Moros [Rancho]"	"R"	"22°16´42.473"N"	"102°02´16.251"W"	"22.27846400"	"-102.03784700"	"2034"	"F13B79"	"0"	"0"	"0"	"0"
"010020212"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0212"	"Nuevo Valle [Rancho]"	"R"	"22°06´39.644"N"	"102°03´20.261"W"	"22.11101200"	"-102.05562800"	"1993"	"F13B89"	"8"	"5"	"3"	"3"
"010020213"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0213"	"El Águila [Rancho]"	"R"	"22°03´37.192"N"	"101°58´52.121"W"	"22.06033100"	"-101.98114400"	"2039"	"F14A81"	"2"	"*"	"*"	"1"
"010020214"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0214"	"Sociedad la Cascarona [Rancho]"	"R"	"22°04´23.143"N"	"102°05´50.666"W"	"22.07309500"	"-102.09740700"	"1973"	"F13B89"	"5"	"*"	"*"	"1"
"010020215"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0215"	"Valle San Antonio [Rancho]"	"R"	"22°06´51.338"N"	"102°01´34.232"W"	"22.11426100"	"-102.02617500"	"2023"	"F13B89"	"0"	"0"	"0"	"0"
